Name,Release_date,Status,Demographic,Genres,Theme,Score,Ranking,Popularity
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,2015,Finished,No Demo Tag,Drama,"Psychological,School",8.9,21,196
GTO,1996,Finished,Shounen,"Action,Award Winning,Comedy,Drama,Ecchi","Delinquents,School,Workplace",8.89,22,57
Real,1999,Publishing,Seinen,"Drama,Sports","Psychological,Team Sports",8.88,23,192
Yotsuba to!,2003,Publishing,No Demo Tag,"Award Winning,Comedy,Slice of Life","Childcare,Iyashikei",8.87,24,65
Koe no Katachi,2013,Finished,Shounen,"Award Winning,Drama",Romantic Subtext,8.86,25,21
Ookami to Koushinryou,2006,Publishing,No Demo Tag,"Adventure,Drama,Fantasy,Romance,Supernatural","Adult Cast,Historical",8.85,26,220
Haikyuu!!,2012,Finished,Shounen,"Award Winning,Sports","School,Team Sports",8.84,27,32
Monogatari Series: Final Season,2012,Finished,No Demo Tag,"Comedy,Mystery,Supernatural",Vampire,8.84,28,952
Akatsuki no Yona,2009,Publishing,Shoujo,"Action,Comedy,Fantasy,Romance",No Th Tag,8.83,29,77
Kaze no Tani no Nausicaä,1982,Finished,No Demo Tag,"Action,Adventure,Award Winning,Fantasy,Supernatural",No Th Tag,8.83,30,266
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2011,Finished,No Demo Tag,"Comedy,Romance","Love Polygon,School",8.8,31,188
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",2016,Finished,Shounen,Drama,No Th Tag,8.8,32,70
Made in Abyss,2012,Publishing,No Demo Tag,"Adventure,Drama,Fantasy,Sci-Fi",No Th Tag,8.79,33,69
86,2017,Publishing,No Demo Tag,"Action,Drama,Sci-Fi",Military,8.79,34,499
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,2012,Finished,Shounen,"Drama,Fantasy,Mystery,Supernatural",No Th Tag,8.79,35,1285
Uchuu Kyoudai,2007,Publishing,Seinen,"Award Winning,Drama,Sci-Fi","Adult Cast,Space,Workplace",8.79,36,477
Re:Zero kara Hajimeru Isekai Seikatsu,2014,Publishing,No Demo Tag,"Drama,Fantasy,Suspense","Isekai,Psychological,Time Travel",8.79,37,217
Nana,2000,On Hiatus,Shoujo,"Award Winning,Drama,Romance,Slice of Life","Adult Cast,Love Polygon,Music",8.76,38,93
Sayonara Eri,2022,Finished,Shounen,Drama,No Th Tag,8.76,39,425
Utsuro no Hako to Zero no Maria,2009,Finished,No Demo Tag,"Action,Drama,Horror,Mystery,Romance,Supernatural,Suspense","Psychological,School",8.75,40,107
Mushoku Tensei: Isekai Ittara Honki Dasu,2014,Publishing,No Demo Tag,Fantasy,"Isekai,Reincarnation",8.75,41,198
Mushishi,1999,Finished,Seinen,"Award Winning,Fantasy,Mystery,Supernatural","Adult Cast,Historical,Iyashikei",8.74,42,168
One Punch-Man,2012,Publishing,Seinen,"Action,Comedy","Parody,Super Power",8.73,43,6
Solo Leveling,2018,Finished,No Demo Tag,"Action,Adventure,Fantasy",No Th Tag,8.73,44,9
Chainsaw Man,2018,Finished,Shounen,"Action,Adventure,Award Winning","Gore,Mythology",8.72,45,5
The Horizon,2016,Finished,No Demo Tag,"Adventure,Drama",Psychological,8.72,46,269
Blue Period,2017,Publishing,Seinen,"Award Winning,Drama","School,Visual Arts",8.72,47,111
Kono Oto Tomare!,2012,Publishing,Shounen,Drama,"Performing Arts,School",8.71,48,426
Yokohama Kaidashi Kikou,1994,Finished,Seinen,"Award Winning,Drama,Sci-Fi,Slice of Life",Iyashikei,8.71,49,206
Death Note,2003,Finished,Shounen,"Supernatural,Suspense",Psychological,8.71,50,10
Natsume Yuujinchou,2003,Publishing,Shoujo,"Drama,Supernatural",Iyashikei,8.71,51,363
Hunter x Hunter,1998,On Hiatus,Shounen,"Action,Adventure,Fantasy",No Th Tag,8.69,52,24
Akira,1982,Finished,Seinen,"Action,Award Winning,Sci-Fi",Gore,8.69,53,82
Shoujo Shuumatsu Ryokou,2014,Finished,No Demo Tag,"Adventure,Award Winning,Slice of Life",Iyashikei,8.69,54,275
Yagate Kimi ni Naru,2015,Finished,No Demo Tag,"Drama,Girls Love",School,8.68,55,145
Koten-bu Series,2001,Publishing,No Demo Tag,"Adventure,Mystery",School,8.68,56,972
Hajime no Ippo,1989,Publishing,Shounen,"Award Winning,Sports",Combat Sports,8.68,57,170
Beck,2000,Finished,Shounen,"Award Winning,Comedy,Drama,Romance,Slice of Life",Music,8.68,58,189
Dorohedoro,2000,Finished,Seinen,"Action,Comedy,Fantasy,Horror",Gore,8.68,59,62
Spy x Family,2019,Publishing,Shounen,"Action,Comedy",Childcare,8.67,60,23
Kozure Ookami,1970,Finished,Seinen,Action,"Historical,Samurai",8.66,61,362
ReLIFE,2013,Finished,No Demo Tag,"Comedy,Drama,Romance,Slice of Life",School,8.66,62,54
Overlord,2012,Publishing,No Demo Tag,"Action,Fantasy,Supernatural","Isekai,Video Game",8.66,63,240
Zaregoto Series,2002,Finished,No Demo Tag,"Action,Drama,Mystery,Supernatural",No Th Tag,8.65,64,728
Wind Breaker,2013,Publishing,No Demo Tag,"Action,Drama,Sports",No Th Tag,8.65,65,482
Violet Evergarden,2015,Finished,No Demo Tag,"Drama,Fantasy",No Th Tag,8.64,66,616
Banana Fish,1985,Finished,Shoujo,"Action,Adventure,Drama",Delinquents,8.64,67,308
Shinyaku Toaru Majutsu no Index,2011,Finished,No Demo Tag,"Action,Comedy,Fantasy,Sci-Fi,Supernatural",Super Power,8.64,68,1166
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",2017,Finished,No Demo Tag,Romance,No Th Tag,8.63,69,882
Kimi no Suizou wo Tabetai,2015,Finished,No Demo Tag,"Drama,Romance",No Th Tag,8.63,70,5427
Aria,2002,Finished,Shounen,"Adventure,Comedy,Drama,Sci-Fi,Slice of Life",Iyashikei,8.63,71,441
Kokou no Hito,2007,Finished,Seinen,"Drama,Sports",Psychological,8.63,72,194
Kono Subarashii Sekai ni Shukufuku wo!,2013,Finished,No Demo Tag,"Adventure,Comedy,Fantasy","Isekai,Parody,Reincarnation",8.62,73,288
Gintama,2003,Finished,Shounen,"Action,Comedy,Sci-Fi","Gag Humor,Historical,Parody,Samurai",8.61,74,135
Pluto,2003,Finished,Seinen,"Action,Award Winning,Mystery,Sci-Fi","Mecha,Psychological",8.61,75,115
Mob Psycho 100,2012,Finished,No Demo Tag,"Action,Award Winning,Comedy,Supernatural",Super Power,8.6,76,106
Jibaku Shounen Hanako-kun,2014,Publishing,Shounen,Supernatural,School,8.6,77,129
Shigatsu wa Kimi no Uso,2011,Finished,Shounen,"Award Winning,Drama,Romance","Music,School",8.6,78,160
Pandora Hearts,2006,Finished,Shounen,"Adventure,Fantasy,Mystery,Supernatural",No Th Tag,8.59,79,48
Given,2013,Publishing,No Demo Tag,"Boys Love,Drama,Slice of Life",Music,8.59,80,272
Golden Kamuy,2014,Finished,Seinen,"Action,Adventure,Award Winning",Historical,8.59,81,169
Seishun Buta Yarou Series,2014,Publishing,No Demo Tag,"Comedy,Romance",School,8.58,82,738
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,2015,Publishing,No Demo Tag,Fantasy,"Isekai,Reincarnation",8.58,83,1727
Kino no Tabi: The Beautiful World,2000,Publishing,No Demo Tag,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",Psychological,8.58,84,944
Skip Beat!,2002,Publishing,Shoujo,"Comedy,Drama,Romance","Love Polygon,Showbiz",8.58,85,134
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,1992,Finished,Shounen,"Action,Supernatural",No Th Tag,8.58,86,125
Shingeki no Kyojin,2009,Finished,Shounen,"Action,Award Winning,Drama","Gore,Military,Survival",8.58,87,1
Rurouni Kenshin: Meiji Kenkaku Romantan,1994,Finished,Shounen,"Action,Drama","Historical,Samurai",8.57,88,126
One Outs,1998,Finished,Seinen,Sports,"Adult Cast,Psychological,Team Sports",8.57,89,489
Watashitachi no Shiawase na Jikan,2008,Finished,Seinen,"Drama,Romance,Slice of Life","Music,Psychological",8.57,90,94
Sousou no Frieren,2020,Publishing,Shounen,"Adventure,Award Winning,Fantasy",No Th Tag,8.57,91,282
Jujutsu Kaisen,2018,Publishing,Shounen,"Action,Fantasy",School,8.56,92,15
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,2014,Finished,No Demo Tag,"Drama,Fantasy,Romance,Sci-Fi",No Th Tag,8.56,93,637
Neon Genesis Evangelion,1994,Finished,"Seinen,Shounen","Action,Drama,Mystery,Sci-Fi","Mecha,Psychological",8.56,94,109
Baccano!,2003,Publishing,No Demo Tag,"Action,Fantasy,Mystery",Organized Crime,8.56,95,850
Suzumiya Haruhi Series,2003,Publishing,No Demo Tag,"Comedy,Drama,Sci-Fi,Supernatural",School,8.56,96,411
Otoyomegatari,2008,Publishing,Seinen,"Award Winning,Drama,Romance",Historical,8.56,97,212
Hi no Tori (1967),1966,Finished,Shounen,"Drama,Fantasy,Romance,Sci-Fi,Supernatural","Historical,Psychological,Space",8.55,98,825
Diamond no Ace Act II,2015,Publishing,Shounen,Sports,"School,Team Sports",8.55,99,1158
Kakukaku Shikajika,2011,Finished,Josei,"Award Winning,Slice of Life",Memoir,8.55,100,632
Sakamichi no Apollon,2007,Finished,Josei,"Award Winning,Drama,Romance,Slice of Life","Love Polygon,Music,School",8.54,101,542
Sasaki to Miyano,2016,Publishing,No Demo Tag,"Boys Love,Slice of Life","Otaku Culture,School",8.54,102,627
Bastard,2014,Finished,No Demo Tag,"Drama,Horror,Mystery,Romance","Gore,Psychological",8.54,103,89
Kara no Kyoukai: The Garden of Sinners,1998,Finished,No Demo Tag,"Fantasy,Horror,Mystery,Supernatural","Mythology,Psychological,School",8.54,104,1141
Fate/Zero,2006,Finished,No Demo Tag,"Action,Fantasy,Supernatural",No Th Tag,8.54,105,573
Kidou Senshi Gundam: The Origin,2001,Finished,Shounen,"Action,Award Winning,Drama,Sci-Fi","Mecha,Military,Space",8.53,106,1305
Ginga Eiyuu Densetsu,1982,Finished,No Demo Tag,"Action,Adventure,Drama,Sci-Fi","Adult Cast,Military,Space",8.53,107,1944
Kamisama Hajimemashita,2008,Finished,Shoujo,"Comedy,Fantasy,Romance,Supernatural",Mythology,8.53,108,148
Chihayafuru,2007,Publishing,Josei,"Award Winning,Drama","Love Polygon,Strategy Game",8.53,109,385
Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,2011,Finished,Shounen,"Drama,Mystery,Supernatural,Suspense",Psychological,8.53,110,1592
Chikan Otoko,2004,Finished,No Demo Tag,"Comedy,Drama,Romance,Slice of Life",No Th Tag,8.53,111,316
Shimanami Tasogare,2015,Finished,Seinen,"Drama,Slice of Life",Psychological,8.53,112,277
Tongari Boushi no Atelier,2016,Publishing,Seinen,Fantasy,No Th Tag,8.53,113,283
"Ohayou, Ibarahime",2014,Finished,Shoujo,"Romance,Supernatural",No Th Tag,8.53,114,511
Tokyo Ghoul,2011,Finished,Seinen,"Action,Fantasy,Horror","Gore,Psychological",8.52,115,4
Fruits Basket,1998,Finished,Shoujo,"Award Winning,Comedy,Drama,Romance,Supernatural","Love Polygon,School",8.52,116,64
Ouran Koukou Host Club,2002,Finished,Shoujo,"Comedy,Drama,Romance","Crossdressing,Reverse Harem,School",8.51,117,74
Spirit Circle,2012,Finished,Seinen,"Action,Adventure,Comedy,Drama,Romance,Supernatural",Reincarnation,8.51,118,383
Steins;Gate,2011,Finished,No Demo Tag,"Sci-Fi,Suspense",No Th Tag,8.51,119,1498
blanc,2018,Finished,No Demo Tag,"Boys Love,Drama,Slice of Life",No Th Tag,8.51,120,3060
Bakemonogatari,2018,Publishing,Shounen,"Action,Comedy,Drama,Mystery,Romance,Supernatural",Vampire,8.51,121,495
Vanitas no Karte,2015,Publishing,Shounen,"Fantasy,Supernatural","Historical,Vampire",8.51,122,254
Tian Guan Ci Fu,2019,Publishing,No Demo Tag,"Action,Adventure,Boys Love,Drama,Supernatural",Historical,8.51,123,4784
Tobaku Datenroku Kaiji: One Poker-hen,2013,Finished,Seinen,Drama,"Adult Cast,High Stakes Game,Psychological,Strategy Game",8.5,124,2547
Bungou Stray Dogs: Beast,2019,Finished,Shounen,"Action,Drama,Supernatural",No Th Tag,8.5,125,2503
Here U Are,2017,Finished,No Demo Tag,"Boys Love,Drama,Slice of Life",School,8.49,126,679
Who Made Me a Princess,2017,Publishing,No Demo Tag,"Comedy,Fantasy,Romance",Reincarnation,8.49,127,423
"""Oshi no Ko""",2020,Publishing,Seinen,"Drama,Supernatural","Music,Reincarnation",8.49,128,172
Eyeshield 21,2002,Finished,Shounen,Sports,Team Sports,8.49,129,174
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,2010,Finished,Shounen,"Drama,Fantasy,Horror,Mystery,Supernatural,Suspense",Psychological,8.49,130,1380
Hinamatsuri,2010,Finished,Seinen,"Comedy,Supernatural","Childcare,Organized Crime",8.49,131,287
No Game No Life,2012,Publishing,No Demo Tag,"Comedy,Fantasy,Ecchi","Isekai,Strategy Game",8.49,132,231
Bungou Stray Dogs,2012,Publishing,Seinen,"Action,Supernatural",No Th Tag,8.49,133,167
Tensei shitara Slime Datta Ken,2014,Publishing,No Demo Tag,Fantasy,"Isekai,Reincarnation",8.49,134,450
Kimi no Suizou wo Tabetai,2016,Finished,No Demo Tag,Drama,No Th Tag,8.49,135,412
Monogatari Series: Monster Season,2017,Finished,No Demo Tag,"Comedy,Mystery,Supernatural",Vampire,8.49,136,3019
Fullmetal Alchemist,2003,Finished,Shounen,"Action,Adventure,Drama,Fantasy",Military,8.48,137,999
Kyou kara Ore wa!!,1988,Finished,Shounen,Comedy,"Delinquents,School",8.48,138,815
Kami nomi zo Shiru Sekai,2008,Finished,Shounen,"Comedy,Fantasy,Romance,Supernatural","Harem,Otaku Culture,School",8.48,139,97
Kimi wa Houkago Insomnia,2019,Publishing,Seinen,Slice of Life,"Iyashikei,School",8.48,140,860
